Basic MLP Loss is 8.595
num_blocks = 2, patch size = [3, 5], best loss = 10.146
num_blocks = 2, patch size = [3, 5], best loss = 8.827
num_blocks = 3, patch size = [3, 5], best loss = 9.475
num_blocks = 3, patch size = [3, 5], best loss = 8.207
num_blocks = 4, patch size = [3, 5], best loss = 8.650
num_blocks = 4, patch size = [3, 5], best loss = 8.775
num_blocks = 5, patch size = [3, 5], best loss = 9.384
num_blocks = 5, patch size = [3, 5], best loss = 10.052
num_blocks = 6, patch size = [3, 5], best loss = 13.571
num_blocks = 6, patch size = [3, 5], best loss = 8.369
num_blocks = 7, patch size = [3, 5], best loss = 8.150
num_blocks = 7, patch size = [3, 5], best loss = 8.344
num_blocks = 2, patch size = [3, 1], best loss = 8.812
num_blocks = 2, patch size = [3, 1], best loss = 10.275
num_blocks = 3, patch size = [3, 1], best loss = 11.119
num_blocks = 3, patch size = [3, 1], best loss = 8.953
num_blocks = 4, patch size = [3, 1], best loss = 8.781
num_blocks = 4, patch size = [3, 1], best loss = 7.998
num_blocks = 5, patch size = [3, 1], best loss = 8.506
num_blocks = 5, patch size = [3, 1], best loss = 8.390
num_blocks = 6, patch size = [3, 1], best loss = 9.168
num_blocks = 6, patch size = [3, 1], best loss = 8.627
num_blocks = 7, patch size = [3, 1], best loss = 9.968
num_blocks = 7, patch size = [3, 1], best loss = 8.374
num_blocks = 2, patch size = [1, 5], best loss = 11.572
num_blocks = 2, patch size = [1, 5], best loss = 8.653
num_blocks = 3, patch size = [1, 5], best loss = 10.335
num_blocks = 3, patch size = [1, 5], best loss = 11.835
num_blocks = 4, patch size = [1, 5], best loss = 10.709
num_blocks = 4, patch size = [1, 5], best loss = 14.582
num_blocks = 5, patch size = [1, 5], best loss = 8.962
num_blocks = 5, patch size = [1, 5], best loss = 8.376
num_blocks = 6, patch size = [1, 5], best loss = 9.523
num_blocks = 6, patch size = [1, 5], best loss = 8.965
num_blocks = 7, patch size = [1, 5], best loss = 10.059
num_blocks = 7, patch size = [1, 5], best loss = 8.995
