Basic MLP Loss is 5.791
num_blocks = 2, patch size = [3, 5], best loss = 5.490
num_blocks = 2, patch size = [3, 5], best loss = 5.315
num_blocks = 3, patch size = [3, 5], best loss = 5.966
num_blocks = 3, patch size = [3, 5], best loss = 5.750
num_blocks = 4, patch size = [3, 5], best loss = 5.628
num_blocks = 4, patch size = [3, 5], best loss = 5.390
num_blocks = 5, patch size = [3, 5], best loss = 5.822
num_blocks = 5, patch size = [3, 5], best loss = 5.534
num_blocks = 6, patch size = [3, 5], best loss = 5.704
num_blocks = 6, patch size = [3, 5], best loss = 5.597
num_blocks = 2, patch size = [3, 1], best loss = 5.783
num_blocks = 2, patch size = [3, 1], best loss = 5.804
num_blocks = 3, patch size = [3, 1], best loss = 7.034
num_blocks = 3, patch size = [3, 1], best loss = 5.697
num_blocks = 4, patch size = [3, 1], best loss = 5.603
num_blocks = 4, patch size = [3, 1], best loss = 6.405
num_blocks = 5, patch size = [3, 1], best loss = 6.014
num_blocks = 5, patch size = [3, 1], best loss = 5.698
num_blocks = 6, patch size = [3, 1], best loss = 6.135
num_blocks = 6, patch size = [3, 1], best loss = 5.684
num_blocks = 2, patch size = [1, 5], best loss = 8.086
num_blocks = 2, patch size = [1, 5], best loss = 6.937
num_blocks = 3, patch size = [1, 5], best loss = 5.899
num_blocks = 3, patch size = [1, 5], best loss = 5.892
num_blocks = 4, patch size = [1, 5], best loss = 5.676
num_blocks = 4, patch size = [1, 5], best loss = 5.493
num_blocks = 5, patch size = [1, 5], best loss = 5.984
num_blocks = 5, patch size = [1, 5], best loss = 5.794
num_blocks = 6, patch size = [1, 5], best loss = 5.448
num_blocks = 6, patch size = [1, 5], best loss = 5.568
num_blocks = 2, patch size = [17, 5], best loss = 5.663
num_blocks = 2, patch size = [17, 5], best loss = 5.768
num_blocks = 3, patch size = [17, 5], best loss = 5.676
num_blocks = 3, patch size = [17, 5], best loss = 5.827
num_blocks = 4, patch size = [17, 5], best loss = 5.717
num_blocks = 4, patch size = [17, 5], best loss = 5.385
num_blocks = 5, patch size = [17, 5], best loss = 5.564
num_blocks = 5, patch size = [17, 5], best loss = 5.197
num_blocks = 6, patch size = [17, 5], best loss = 5.584
num_blocks = 6, patch size = [17, 5], best loss = 5.444
