# H0, omch2, As, b1, b2, bG2
9.564308023186029573e+01 1.374029577098329902e-01 4.730999794557696703e+00 2.958406976931469146e+00 2.066364370527355554e+00 2.802213565360638370e+00
7.439956020754441113e+01 7.168246888332101274e-02 4.457392923255460104e+00 1.586675639347610911e+00 -2.319864325765550905e+00 -1.592011632697956092e+00
9.977789675560664762e+01 2.273598222483625975e-01 3.623095982459536124e+00 1.328723152029657850e+00 -1.790763171554956568e+00 1.936885240228718885e+00
6.224785981407321600e+01 2.054861070635421449e-01 3.385880094477399904e+00 3.554547517591219119e+00 -5.512699600119033150e-01 -3.052135020315184910e+00
5.366894776569876058e+01 2.856744365597247981e-01 3.927754424831204627e+00 3.927340724765546298e+00 1.726917492263757126e+00 -3.676137089552404369e+00
6.957194710589382680e+01 1.805663478659312593e-01 1.185035185334944341e+00 1.860029777151549268e+00 1.189361586888860955e+00 -2.100447109899603149e+00
6.821672411911495715e+01 9.994301328470442392e-02 4.212553800666118065e+00 1.020903291625154807e+00 3.877984772486193776e+00 7.065811527670744496e-01
8.038220640114275284e+01 2.781581021856161517e-01 2.047271091890104255e+00 2.843027307982074259e+00 -3.582894468522613618e+00 3.378522366815069233e+00
7.747389145446864234e+01 4.830717596206253461e-02 9.870980535760306429e-01 1.968185338631911474e+00 8.675201744555405270e-01 2.017158331390371373e+00
8.387023995875601656e+01 1.193184203637338847e-01 1.529301276775722584e+00 3.359489998229991059e+00 3.255817900512196772e+00 1.222758902349681875e+00
5.035131341937300675e+01 7.614931806992904229e-02 3.101028126328401857e+00 2.417306496032686880e+00 -1.093243386800126782e+00 3.933246244945178383e+00
8.900832007568396875e+01 2.541999144035409497e-01 1.434474509993214797e+00 3.120113198853156522e+00 -3.209419554487533688e+00 -2.840047933500010835e+00
9.343668866477901247e+01 1.527386384073425030e-01 2.795149948458733657e+00 2.255136023612873686e+00 2.939494561130788775e+00 -1.367548935998041060e+00
5.842492065701769377e+01 2.374311969836335190e-01 2.448373373357270566e+00 2.588317513685685523e+00 -8.615044659679860217e-02 -1.309519805371732737e-01
6.316205201689968618e+01 1.612741386110607134e-01 2.535257626850973445e+00 1.483746575974811410e+00 3.896350172830143066e-01 1.539082330498748874e-01
8.580854654705260032e+01 2.450867264347400196e-02 1.876540056587957306e+00 3.722456935562689750e+00 -2.658964151901153983e+00 -9.567548003059322959e-01
